Postal Code,Region
L1A,Port Hope
L2A,Fort Erie
L4A,Stouffville
L5A,Mississauga (Mississauga Valley / East Cooksville)
L6A,Vaughan (Maple)
L7A,Brampton (West)
L9A,Hamilton (Crerar / Bruleville / Hill Park / Inch Park / Centremount / Balfour / Greeningdon / Jerome)
L1B,Bowmanville (East)
L3B,Welland (East)
L4B,Richmond Hill (Southeast)
L5B,Mississauga (West Cooksville / Fairview / City Centre / East Creditview)
L6B,"Markham (Cornell, Ontario / Box Grove, Ontario)"
L7B,King City
L8B,Hamilton (Waterdown)
L9B,Hamilton (Barnstown / West Chappel / Allison / Ryckmans / Mewburn / Sheldon / Falkirk / Carpenter / Kennedy)
L1C,Bowmanville (West)
L3C,Welland (West)
L4C,Richmond Hill (Southwest)
L5C,Mississauga (West Creditview / Mavis / Erindale)
L6C,Markham (Berczy Village / Cachet / Angus Glen)
L7C,Caledon (Caledon East)
L9C,Hamilton (Southam / Bonnington / Yeoville / Kernighan)
L1E,Courtice (Bowmanville)
L2E,Niagara Falls (Central)
L4E,Richmond Hill (Oak Ridges / Lake Wilcox / Temperanceville)
L5E,Mississauga (Central Lakeview)
L6E,Markham (Wismer Commons / Greensborough)
L7E,Bolton
L8E,Hamilton (Confederation Park / Nashdale / East Kentley / Riverdale / Lakely / Grayside / North Stoney Creek)
L9E,Milton (South)
L3P,Markham (Central)
L4P,Keswick
L5P,Mississauga (YYZ)
L6P,Brampton (North)
L3R,Markham (Outer Southwest)
L4R,Midland
L5R,Mississauga (West Hurontario / SW Gateway)
L6R,Brampton (Northwest)
L3S,"Markham (Armadale, Ontario / Milliken, Ontario)"
L4S,Richmond Hill (Central)
L5S,Mississauga (Cardiff / NE Gateway)
L6S,Brampton (North Central)
L3T,Thornhill (East)
L4T,Mississauga (Malton)
L5T,Mississauga (Courtney Park / Northeast Gateway)
L6T,Brampton (East)
L1X,Pickering (Central)
L1Y,Pickering (North)
L1Z,Ajax (East)
L3X,Newmarket (Southwest)
L3Y,Newmarket (Northeast)
L3Z,Bradford
